0:00,沪 NX2119,31.2740300000,121.2837400000
1:00,沪 NX2119,31.2743250000,121.2829950000
2:00,沪 NX2119,31.2739760000,121.2831140000
3:00,沪 NX2119,31.2739270000,121.2824720000
4:00,沪 NX2119,31.2741350000,121.2824490000
5:00,沪 NX2119,31.2737610000,121.2816800000
6:00,沪 NX2119,31.2739460000,121.2819860000
7:00,沪 NX2119,31.2743250000,121.2823400000
8:00,沪 NX2119,31.2739650000,121.2816280000
9:00,沪 NX2119,31.2739050000,121.2811540000
10:00,沪 NX2119,31.2737520000,121.2815860000
11:00,沪 NX2119,31.2738560000,121.2815690000
12:00,沪 NX2119,31.2739150000,121.2813090000
13:00,沪 NX2119,31.2737160000,121.2805260000
14:00,沪 NX2119,31.2734790000,121.2808160000
15:00,沪 NX2119,31.2737690000,121.2807990000
16:00,沪 NX2119,31.2739130000,121.2802500000
17:00,沪 NX2119,31.2738600000,121.2808400000
18:00,沪 NX2119,31.2739420000,121.2805970000
19:00,沪 NX2119,31.2740590000,121.2806000000
20:00,沪 NX2119,31.2744090000,121.2810390000
21:00,沪 NX2119,31.2742390000,121.2805240000
22:00,沪 NX2119,31.2738520000,121.2808760000
23:00,沪 NX2119,31.2735900000,121.2802550000
0:00,沪 NX8390,31.2499030000,121.2572910000
1:00,沪 NX8390,31.2496830000,121.2572400000
2:00,沪 NX8390,31.2498770000,121.2570130000
3:00,沪 NX8390,31.2494780000,121.2577190000
4:00,沪 NX8390,31.2498220000,121.2578000000
5:00,沪 NX8390,31.2500660000,121.2585620000
6:00,沪 NX8390,31.2501850000,121.2586910000
7:00,沪 NX8390,31.2501840000,121.2580910000
8:00,沪 NX8390,31.2499300000,121.2580670000
9:00,沪 NX8390,31.2500170000,121.2582660000
10:00,沪 NX8390,31.2497010000,121.2585100000
11:00,沪 NX8390,31.2499800000,121.2585380000
12:00,沪 NX8390,31.2499620000,121.2591980000
13:00,沪 NX8390,31.2502440000,121.2586460000
14:00,沪 NX8390,31.2501650000,121.2584010000
15:00,沪 NX8390,31.2501740000,121.2587560000
16:00,沪 NX8390,31.2500200000,121.2587740000
17:00,沪 NX8390,31.2504010000,121.2587520000
18:00,沪 NX8390,31.2506010000,121.2583820000
19:00,沪 NX8390,31.2508290000,121.2587620000
20:00,沪 NX8390,31.2505110000,121.2584140000
21:00,沪 NX8390,31.2505310000,121.2584500000
22:00,沪 NX8390,31.2507660000,121.2587400000
23:00,沪 NX8390,31.2506640000,121.2592400000
0:00,沪 NX8472,31.2874690000,121.2181400000
1:00,沪 NX8472,31.2876780000,121.2186650000
2:00,沪 NX8472,31.2877100000,121.2192610000
3:00,沪 NX8472,31.2877880000,121.2186970000
4:00,沪 NX8472,31.2880220000,121.2185360000
5:00,沪 NX8472,31.2876640000,121.2192900000
6:00,沪 NX8472,31.2880410000,121.2190740000
7:00,沪 NX8472,31.2881810000,121.2192000000
